name,GW,points,form
Ander_Herrera_299,4,1,0.0
Ander_Herrera_299,9,1,0.0
Ander_Herrera_299,10,1,0.25
Ander_Herrera_299,11,1,0.5
Ander_Herrera_299,12,2,0.75
Ander_Herrera_299,14,9,1.0
Ander_Herrera_299,15,8,3.0
Ander_Herrera_299,16,2,4.75
Ander_Herrera_299,17,2,4.75
Ander_Herrera_299,18,8,5.25
Ander_Herrera_299,19,4,5.0
Ander_Herrera_299,20,4,4.0
Ander_Herrera_299,21,3,4.5
Ander_Herrera_299,22,2,4.75
Ander_Herrera_299,23,2,3.25
Ander_Herrera_299,25,3,1.75
Ander_Herrera_299,26,3,1.75
Ander_Herrera_299,27,1,2.0
Ander_Herrera_299,32,3,0.0
Ander_Herrera_299,36,1,0.75
Ander_Herrera_299,37,1,0.25
Andre_Gray_395,1,2,0.0
Andre_Gray_395,2,6,2.0
Andre_Gray_395,3,2,4.0
Andre_Gray_395,4,2,3.3333333333333335
Andre_Gray_395,5,8,3.0
Andre_Gray_395,6,6,4.5
Andre_Gray_395,7,2,4.5
Andre_Gray_395,8,1,4.5
Andre_Gray_395,9,1,4.25
Andre_Gray_395,10,1,2.5
Andre_Gray_395,11,0,1.25
Andre_Gray_395,12,1,0.75
Andre_Gray_395,13,1,0.75
Andre_Gray_395,14,1,0.75
Andre_Gray_395,15,1,0.75
Andre_Gray_395,25,1,0.0
Andre_Gray_395,26,7,0.25
Andre_Gray_395,27,1,2.0
Andre_Gray_395,28,1,2.25
Andre_Gray_395,29,5,2.5
Andre_Gray_395,30,2,3.5
